movie_id,title,genre,director,actors,language,release_year,duration_minutes,imdb_rating,description
1,Sholay,"Action,Drama","Ramesh Sippy","Amitabh Bachchan,Dharmendra",Hindi,1975,204,8.2,"Two criminals hired to capture a ruthless bandit."
2,War,"Action","Siddharth Anand","Hrithik Roshan,Tiger Shroff",Hindi,2019,154,6.5,"A soldier goes rogue; another is sent to hunt him down."
3,Don,"Action,Crime","Farhan Akhtar","Shah Rukh Khan,Priyanka Chopra",Hindi,2006,171,7.2,"A mysterious man takes the identity of a wanted criminal."
4,Tiger Zinda Hai,"Action","Ali Abbas Zafar","Salman Khan,Katrina Kaif",Hindi,2017,161,6.0,"RAW agent Tiger returns for a rescue mission."
5,Bang Bang,"Action,Romance","Siddharth Anand","Hrithik Roshan,Katrina Kaif",Hindi,2014,153,5.5,"An ordinary bank employee gets entangled with a spy."
6,Commando,"Action","Dilip Ghosh","Vidyut Jammwal,Pooja Chopra",Hindi,2013,124,6.2,"A commando escapes from Chinese captivity."
7,Dhoom 2,"Action,Crime,Drama","Sanjay Gadhvi","Hrithik Roshan,Aishwarya Rai",Hindi,2006,147,6.5,"An international thief is chased by police."
8,Singham,"Action,Drama","Rohit Shetty","Ajay Devgn,Prakash Raj",Hindi,2011,143,6.8,"A righteous cop fights corruption."
9,3 Idiots,"Drama,Comedy","Rajkumar Hirani","Aamir Khan,Kareena Kapoor",Hindi,2009,170,8.4,"Three students struggle with pressure of college."
10,Taare Zameen Par,"Drama,Biography","Aamir Khan","Darsheel Safary,Aamir Khan",Hindi,2007,165,8.4,"A dyslexic boy's artistic talent is discovered."
11,Swades,"Drama","Ashutosh Gowariker","Shah Rukh Khan",Hindi,2004,189,8.2,"NRI returns to rural India to bring change."
12,Mulk,"Drama","Anubhav Sinha","Rishi Kapoor,Taapsee Pannu",Hindi,2018,140,7.5,"A family fights for justice amidst religious conflict."
13,Article 15,"Drama,Crime","Anubhav Sinha","Ayushmann Khurrana",Hindi,2019,130,8.2,"A cop uncovers caste-based crimes in a village."
14,Masaan,"Drama","Neeraj Ghaywan","Richa Chadha,Vicky Kaushal",Hindi,2015,109,8.1,"Interconnected stories of love and loss."
15,Kabhi Khushi Kabhie Gham,"Drama,Romance","Karan Johar","Shah Rukh Khan,Kajol",Hindi,2001,210,7.4,"A family's unity is challenged over class differences."
16,Bajrangi Bhaijaan,"Drama,Adventure","Kabir Khan","Salman Khan,Kareena Kapoor",Hindi,2015,163,8.1,"Man helps mute girl reach home across border."
17,Dilwale Dulhania Le Jayenge,"Romance,Drama","Aditya Chopra","Shah Rukh Khan,Kajol",Hindi,1995,189,8.1,"Love story set in Europe and India."
18,Aashiqui 2,"Romance,Drama","Mohit Suri","Aditya Roy Kapur,Shraddha Kapoor",Hindi,2013,132,7.0,"A musician's life spirals due to addiction and love."
19,Barfi!,"Romance,Drama","Anurag Basu","Ranbir Kapoor,Priyanka Chopra",Hindi,2012,151,8.1,"A deaf-mute man and an autistic woman form a bond."
20,Kaho Naa... Pyaar Hai,"Romance,Action","Rakesh Roshan","Hrithik Roshan,Amisha Patel",Hindi,2000,172,6.9,"Love, loss and doppelganger twist."
21,Kabir Singh,"Romance,Drama","Sandeep Reddy Vanga","Shahid Kapoor,Kiara Advani",Hindi,2019,173,7.0,"A surgeon struggles after a failed love."
22,Jab We Met,"Romance,Comedy","Imtiaz Ali","Kareena Kapoor,Shahid Kapoor",Hindi,2007,138,7.9,"A bubbly girl changes a depressed man's life."
23,Tamasha,"Romance,Drama","Imtiaz Ali","Ranbir Kapoor,Deepika Padukone",Hindi,2015,139,7.3,"A man loses his identity in societal pressure."
